time	V(AC_OUT_N)*Id(M3)+V(N009)*Ig(M3)
1.971401727400587e-002	9.392251e-002
1.972401727400587e-002	9.014189e-002
1.973401727400587e-002	8.638813e-002
1.974401727400587e-002	8.266151e-002
1.975401727400587e-002	7.896227e-002
1.976401727400587e-002	7.529072e-002
1.977401727400587e-002	7.164713e-002
1.978401727400586e-002	6.803187e-002
1.979151041664917e-002	6.534165e-002
1.979813232091238e-002	6.297774e-002
1.980343957605863e-002	6.109238e-002
1.980955564346436e-002	5.892997e-002
1.981267768991989e-002	5.783041e-002
1.981544836704655e-002	5.685704e-002
1.981723610464234e-002	5.623020e-002
1.981833680448825e-002	5.584474e-002
1.981993196365947e-002	5.528677e-002
1.982175745227325e-002	5.464917e-002
1.982356428671421e-002	5.401908e-002
1.982805080940982e-002	5.245882e-002
1.983807427431899e-002	4.899832e-002
1.984809773922815e-002	4.556562e-002
1.985812120413732e-002	4.216302e-002
1.986814466904649e-002	3.879283e-002
1.987816813395565e-002	3.545736e-002
1.988819159886482e-002	3.215891e-002
1.989821506377398e-002	2.889979e-002
1.992821506377398e-002	1.936407e-002
1.994821506377398e-002	1.322489e-002
1.995821506377398e-002	1.023407e-002
1.996821506377398e-002	7.307682e-003
1.997821506377398e-002	4.464529e-003
1.998821506377398e-002	1.754828e-003
1.999036276039042e-002	1.205531e-003
1.999362137651561e-002	4.273310e-004
1.999444882243314e-002	2.530652e-004
1.999500482435908e-002	1.486425e-004
1.999532673550801e-002	9.582763e-005
1.999557715366253e-002	6.036133e-005
1.999579341817792e-002	3.481811e-005
1.999598980755717e-002	1.642958e-005
1.999619775001628e-002	2.310337e-006
1.999640278998549e-002	-6.513049e-006
1.999651274666689e-002	-9.441658e-006
1.999663689884932e-002	-1.157566e-005
1.999677422424519e-002	-1.285434e-005
1.999692970088143e-002	-1.336635e-005
1.999708660402415e-002	-1.325617e-005
1.999726283666306e-002	-1.272517e-005
1.999745741712203e-002	-1.190058e-005
1.999769541444555e-002	-1.076624e-005
1.999898215231901e-002	-4.744921e-006
1.999998361685602e-002	-6.210019e-007
2.000165510378261e-002	5.352287e-006
2.000340177112855e-002	1.067132e-005
2.000384666650659e-002	1.195157e-005
2.000473645726266e-002	1.431616e-005
2.000516017615001e-002	1.538553e-005
2.000552132060319e-002	1.627241e-005
2.000586972972954e-002	1.710568e-005
2.000624595674423e-002	1.798264e-005
2.000662307872071e-002	1.884013e-005
2.000695259457988e-002	1.957324e-005
2.000733566656531e-002	2.040626e-005
2.000770079395233e-002	2.118272e-005
2.000821533681112e-002	2.224783e-005
2.000883316778214e-002	2.348632e-005
2.000964466486964e-002	2.505140e-005
2.001062525712907e-002	2.686010e-005
2.001170609613828e-002	2.876397e-005
2.001316748247331e-002	3.123170e-005
2.001369179975721e-002	3.207585e-005
2.001419481936552e-002	3.287120e-005
2.001484797299721e-002	3.388155e-005
2.001600019420445e-002	3.561466e-005
2.001781823428002e-002	3.821618e-005
2.001956666213911e-002	4.058088e-005
2.002141942614600e-002	4.298616e-005
2.002410785843605e-002	4.627938e-005
2.002734410808604e-002	5.001196e-005
2.003268848225681e-002	5.564756e-005
2.003901848815251e-002	6.181602e-005
